prevword,nextword,prevtag,nexttag,class,vozniknut,nastoyashchij,ves
nash,ne,pronoun,neg,4,0,0,0
svoj,ne,pronoun,neg,4,0,0,0
v,ya,prep,pronoun,4,0,0,0
podvodnyj,v,adj,prep,2,0,0,0
ves,ya,pronoun,pronoun,4,0,0,1
dachnyj,. ,adj,.,7,0,1,0
nastoyashchij,.,adj,.,3,0,1,0
ves,.,pronoun,.,4,0,0,1
svoj,.,pronoun,.,4,0,0,0
v,ne,prep,neg,4,0,0,0
postoyannyj,nevozmozhno,adj,adv,1,0,0,0
.,i,.,conj,2,0,0,0
moj,takoj,pronoun,pronoun,4,0,0,0
soznatelnyj,ya,adj,pronoun,4,0,0,0
telo,.,noun,.,2,0,0,0
tvoj,obyazatelno,pronoun,.,5,0,0,0
svoj,stihotvorenie,pronoun,noun,4,0,0,0
sluchaj,uzhasno,noun,adv,4,0,0,1
svoj,.,pronoun,.,4,0,0,0
v,ona,prep,pronoun,4,0,0,0
na,.,prep,.,5,0,0,0
v,ne,prep,neg,4,0,0,0
v,kotoryj,prep,pronoun,4,0,0,0
ot,.,prep,.,7,0,0,0
poskolku,chelovecheskij,conj,adj,2,0,0,0
protyazhenie,mnogie,noun,pronoun,4,0,0,0
kak,.,conj,.,5,0,0,0
nanesyonnyj,i,adj,conj,2,0,0,0
obraz,.,noun,.,5,0,0,0
semejnaya,i,adj,conj,5,0,0,0
partiya,.,noun,.,0,0,0,0
sputnik,ya,noun,pronoun,4,0,0,0
obraz,.,noun,.,5,0,0,0
v,ne,prep,neg,4,0,0,0
monetarizovannyj,.,adj,.,6,0,0,0
strahovanie,.,noun,.,2,0,0,0
proyavlenie,.,noun,.,5,0,0,0
.,v,.,prep,6,0,0,0
k,.,prep,.,2,0,0,0
dovolnyj,.,adj,.,5,0,0,0
god,posle,noun,prep,2,0,0,0
kulturnaya,.,adj,.,6,0,0,0
oblegchat,.,verb,.,4,0,0,0
i,pri,conj,prep,2,0,0,0
.,kosmonavt,.,noun,2,0,0,0
samostoyatelnyj,.,adj,.,4,0,0,0
v,.,prep,.,1,0,0,0
v,region,prep,noun,6,0,0,0
ves,prorabotat,pronoun,verb,4,0,0,1
okonchanie,.,noun,.,2,0,0,0
dlya,nuzhno,prep,pred,4,0,0,0
professionalnyj,.,adj,.,4,0,0,0
v,byt,prep,verb,0,0,0,0
oblegchat,otechestvennyj,verb,adj,6,0,0,0
v,.,prep,.,0,0,0,0
obraz,CHubajs,noun,noun,5,0,0,0
v,tserkov,prep,noun,6,0,0,0
uslozhnit,impotryor,verb,noun,6,0,0,0
ves,.,pronoun,.,4,0,0,1
svoj,mozhno,pronoun,pred,4,0,0,0
v,.,prep,.,0,0,0,0
v,.,prep,.,5,0,0,0
stil,.,noun,.,4,0,0,0
schitat,.,verb,.,4,0,0,0
k,poluzabytyj,prep,adj,0,0,0,0
a,.,conj,.,3,0,0,0
dlya,.,prep,.,4,0,0,0
moj,vsegda,pronoun,adv,4,0,0,0
uslovie,v,noun,prep,2,0,0,0
zhivoj,.,adj,.,7,0,0,0
mestnaya,.,adj,.,5,0,0,0
.,nachinat,.,verb,4,0,0,0
ves,chlen,pronoun,noun,4,0,0,1
moj,vojti,pronoun,verb,4,0,0,0
nash,v,pronoun,prep,4,0,0,0
povsednevnyj,i,adj,conj,7,0,0,0
dlya,.,prep,.,4,0,0,0
ostavshijsya,.,adj,.,4,0,0,1
ukrashat,.,verb,.,4,0,0,0
radost,posle,noun,prep,4,0,0,0
o,.,prep,.,7,0,0,0
bojkij,.,adj,.,7,0,0,0
v,ne,prep,neg,0,0,0,0
dolgij,i,adj,conj,4,0,0,0
podvodnyj,.,adj,.,6,0,0,0
norma,.,noun,.,5,0,0,0
Vinin,.,noun,.,4,0,0,0
obraz,davat,noun,verb,5,0,0,0
prozhit,.,verb,.,4,0,0,0
obraz,Ohlobystin,noun,noun,5,0,0,0
svoj,i,pronoun,conj,4,0,0,0
ego,.,pronoun,.,5,0,0,0
polnota,.,noun,.,3,0,0,0
povsednevnyj,ryadovoj,adj,adj,5,0,0,0
v,Katriehl,prep,noun,4,0,0,0
stolichnyj,.,adj,.,6,0,0,0
.,zamechatelnyj,.,adj,5,0,0,0
v,splav,prep,noun,0,0,0,0
obraz,lyudi,noun,noun,5,0,0,0
k,eshchyo,prep,adv,0,0,0,0
obraz,ego,noun,pronoun,5,0,0,0
v,uvidet,prep,verb,4,0,0,0
poutru,rajon,adv,noun,8,0,0,0
realnyj,teoriya,adj,noun,7,0,0,0
kulturnyj,Moskva,adj,noun,8,0,0,0
lichnyj,.,adj,.,4,0,0,0
sovremennyj,.,adj,.,7,0,0,0
svoj,provesti,pronoun,verb,4,0,0,1
svoj,.,pronoun,.,4,0,0,1
svoj,vhodit,pronoun,verb,4,0,0,1
tolko,posvyatit,,verb,4,0,0,1
v,tserkov,prep,noun,4,0,0,0
yavlyatsya,.,verb,.,7,0,0,0
v,.,prep,.,4,0,0,0
polnota,.,noun,.,3,0,0,0
iz,podvizhnik,prep,noun,4,0,0,0
sam,.,pronoun,.,7,0,0,0
svoj,.,pronoun,.,2,0,0,0
on,.,pronoun,.,2,0,0,0
v,Spasitel,prep,noun,4,0,0,0
posle,Hristos,prep,noun,2,0,0,0
vechnyj,.,adj,.,2,0,0,0
on,ne,pronoun,neg,3,0,0,0
vechnyj,.,adj,.,2,0,0,0
v,.,prep,.,0,0,0,0
hristianskij,.,adj,.,6,0,0,0
opyt,zaklyuchat,noun,verb,5,0,0,0
v,.,prep,.,4,0,0,0
nash,.,pronoun,.,4,0,0,0
omolodit,.,verb,.,6,0,0,0
nash,.,pronoun,.,2,0,0,0
svoj,.,pronoun,.,2,0,0,0
v,veruyushchij,prep,adj,6,0,0,0
pobeda,nad,noun,prep,1,0,0,0
najti,vechnyj,verb,adj,2,0,0,0
polnota,.,noun,.,3,0,0,0
o,hristianskij,prep,adj,6,0,0,0
svoj,i,pronoun,conj,2,0,0,1
.,ne,.,neg,1,0,0,0
ego,.,pronoun,.,2,0,0,0
smysl,i,noun,conj,4,0,0,0
k,takoj,prep,pronoun,0,0,0,0
ego,.,pronoun,.,4,0,0,1
svoj,on,pronoun,pronoun,2,0,0,0
ego,.,pronoun,.,2,0,0,0
kulturnyj,v,adj,prep,6,0,0,0
dlya,lyuboj,prep,pronoun,6,0,0,0
ves,kak,pronoun,conj,4,0,0,1
k,bozhestvo,prep,noun,2,0,0,0
s,.,prep,.,6,0,0,0
pri,Pushkin,prep,noun,4,0,0,0
k,.,prep,.,2,0,0,0
chelovecheskij,.,adj,.,2,0,0,0
v,naselenie,prep,noun,6,0,0,0
uroven,i,noun,conj,6,0,0,0
uroven,.,noun,.,6,0,0,0
uroven,naselenie,noun,noun,6,0,0,0
k,pobuditelnyj,prep,adj,0,0,0,0
nash,.,pronoun,.,5,0,0,0
v,individ,prep,noun,0,0,0,0
period,.,noun,.,4,0,0,0
vechnyj,.,adj,.,2,0,0,0
god,u,noun,prep,2,0,0,0
drugoj,.,pronoun,.,7,0,0,0
svoj,.,pronoun,.,4,0,0,1
v,chelovek,prep,noun,6,0,0,0
.,rastenie,.,noun,2,0,0,0
ves,chelovecheskij,pronoun,adj,4,0,0,1
vremya,.,noun,.,0,0,0,0
svoj,svyashchennyj,pronoun,adj,2,0,0,0
ehpoha,Ishvarakrishna,noun,noun,4,0,0,0
vozniknut,.,verb,.,1,1,0,0
dlya,na,prep,prep,1,0,0,0
v,organizm,prep,noun,2,0,0,0
obraz,.,noun,.,5,0,0,0
nash,.,pronoun,.,4,0,0,0
prodlevat,.,verb,.,2,0,0,0
ostavshijsya,prinimat,adj,verb,4,0,0,0
kniga,.,noun,.,7,0,0,0
chelovecheskij,ezhegodno,adj,adv,2,0,0,0
i,vechnyj,conj,adj,1,0,0,0
storona,Tolstoj,noun,noun,5,0,0,0
uchebnik,.,noun,.,7,0,0,0
v,progulka,prep,noun,4,0,0,0
minuta,kazatsya,noun,verb,4,0,0,0
na,.,prep,.,2,0,0,0
.,obitatel,.,noun,6,0,0,0
srok,obychnyj,noun,noun,4,0,0,0
hozyajstvennyj,.,adj,.,6,0,0,0
ehmotsionalnyj,.,adj,.,5,0,0,0
posleduyushchij,.,adj,.,4,0,0,0
duhovnyj,.,adj,.,6,0,0,0
nyneshnij,.,adj,.,5,0,0,0
o,i,prep,conj,1,0,0,0
chto,proniknut,conj,verb,1,0,0,0
o,.,prep,.,7,0,0,0
segodnyashnij,.,adj,.,7,0,0,0
novyj,.,adj,.,4,0,0,0
kochevoj,i,adj,conj,5,0,0,0
poehtizatsiya,.,noun,.,4,0,0,0
