prevword,nextword,prevtag,nexttag,class
nash,ne,pronoun,neg,4
svoj,ne,pronoun,neg,4
v,ya,prep,pronoun,4
podvodnyj,v,adj,prep,2
ves,ya,pronoun,pronoun,4
dachnyj,. ,adj,.,7
nastoyashchij,.,adj,.,3
ves,.,pronoun,.,4
svoj,.,pronoun,.,4
v,ne,prep,neg,4
postoyannyj,nevozmozhno,adj,adv,1
.,i,.,conj,2
moj,takoj,pronoun,pronoun,4
soznatelnyj,ya,adj,pronoun,4
telo,.,noun,.,2
tvoj,obyazatelno,pronoun,.,5
svoj,stihotvorenie,pronoun,noun,4
sluchaj,uzhasno,noun,adv,4
svoj,.,pronoun,.,4
v,ona,prep,pronoun,4
na,.,prep,.,5
v,ne,prep,neg,4
v,kotoryj,prep,pronoun,4
ot,.,prep,.,7
poskolku,chelovecheskij,conj,adj,2
protyazhenie,mnogie,noun,pronoun,4
kak,.,conj,.,5
nanesyonnyj,i,adj,conj,2
obraz,.,noun,.,5
semejnaya,i,adj,conj,5
partiya,.,noun,.,0
sputnik,ya,noun,pronoun,4
obraz,.,noun,.,5
v,ne,prep,neg,4
monetarizovannyj,.,adj,.,6
strahovanie,.,noun,.,2
proyavlenie,.,noun,.,5
.,v,.,prep,6
k,.,prep,.,2
dovolnyj,.,adj,.,5
god,posle,noun,prep,2
kulturnaya,.,adj,.,6
oblegchat,.,verb,.,4
i,pri,conj,prep,2
.,kosmonavt,.,noun,2
samostoyatelnyj,.,adj,.,4
v,.,prep,.,1
v,region,prep,noun,6
ves,prorabotat,pronoun,verb,4
okonchanie,.,noun,.,2
dlya,nuzhno,prep,pred,4
professionalnyj,.,adj,.,4
v,byt,prep,verb,0
oblegchat,otechestvennyj,verb,adj,6
v,.,prep,.,0
obraz,CHubajs,noun,noun,5
v,tserkov,prep,noun,6
uslozhnit,impotryor,verb,noun,6
ves,.,pronoun,.,4
svoj,mozhno,pronoun,pred,4
v,.,prep,.,0
v,.,prep,.,5
stil,.,noun,.,4
schitat,.,verb,.,4
k,poluzabytyj,prep,adj,0
a,.,conj,.,3
dlya,.,prep,.,4
moj,vsegda,pronoun,adv,4
uslovie,v,noun,prep,2
zhivoj,.,adj,.,7
mestnaya,.,adj,.,5
.,nachinat,.,verb,4
ves,chlen,pronoun,noun,4
moj,vojti,pronoun,verb,4
nash,v,pronoun,prep,4
povsednevnyj,i,adj,conj,7
dlya,.,prep,.,4
ostavshijsya,.,adj,.,4
ukrashat,.,verb,.,4
radost,posle,noun,prep,4
o,.,prep,.,7
bojkij,.,adj,.,7
v,ne,prep,neg,0
dolgij,i,adj,conj,4
podvodnyj,.,adj,.,6
norma,.,noun,.,5
Vinin,.,noun,.,4
obraz,davat,noun,verb,5
prozhit,.,verb,.,4
obraz,Ohlobystin,noun,noun,5
svoj,i,pronoun,conj,4
ego,.,pronoun,.,5
polnota,.,noun,.,3
povsednevnyj,ryadovoj,adj,adj,5
v,Katriehl,prep,noun,4
stolichnyj,.,adj,.,6
.,zamechatelnyj,.,adj,5
v,splav,prep,noun,0
obraz,lyudi,noun,noun,5
k,eshchyo,prep,adv,0
obraz,ego,noun,pronoun,5
v,uvidet,prep,verb,4
poutru,rajon,adv,noun,8
realnyj,teoriya,adj,noun,7
kulturnyj,Moskva,adj,noun,8
lichnyj,.,adj,.,4
sovremennyj,.,adj,.,7
svoj,provesti,pronoun,verb,4
svoj,.,pronoun,.,4
svoj,vhodit,pronoun,verb,4
tolko,posvyatit,,verb,4
v,tserkov,prep,noun,4
yavlyatsya,.,verb,.,7
v,.,prep,.,4
polnota,.,noun,.,3
iz,podvizhnik,prep,noun,4
sam,.,pronoun,.,7
svoj,.,pronoun,.,2
on,.,pronoun,.,2
v,Spasitel,prep,noun,4
posle,Hristos,prep,noun,2
vechnyj,.,adj,.,2
on,ne,pronoun,neg,3
vechnyj,.,adj,.,2
v,.,prep,.,0
hristianskij,.,adj,.,6
opyt,zaklyuchat,noun,verb,5
v,.,prep,.,4
nash,.,pronoun,.,4
omolodit,.,verb,.,6
nash,.,pronoun,.,2
svoj,.,pronoun,.,2
v,veruyushchij,prep,adj,6
pobeda,nad,noun,prep,1
najti,vechnyj,verb,adj,2
polnota,.,noun,.,3
